Job title,Company_name,Minimum salary,Maximun salary,Posted date,Location,Job type,Visa sponsorship,Jobcard page link,Jobcard ID,Scrapping date,Search phrase,Skills,Preferred timezones,Job description,Role,Company type,Company logo,Company Page Link
Python Developer,Valiantica,,,2 years ago,Cincinnati,Contract,Available,https://wellfound.com/jobs/2266519-python-developer,2266519.0,09-08-2024,['python developer'],"Python,Python Flask,Python/Django/Flask,Machine Learning Data Science Python R,Machine Learning Data Science Python",,"Mandatory Skills : Java 1.8, Spring boot or Spring MVC services development, Microservices, REST API, Spring Boot, Spring Data, JPA, Java 1.8 , Oracle Nice to have: Angular 7+ or VueJS?",Python Developer,,https://photos.wellfound.com/startups/i/8262941-266ce93924d3f2f5889386fb35f1b33c-medium_jpg.jpg,https://wellfound.com/company/valiantica-1
Python Developer,Compunnel,$100k , $120k,8 months ago,"Seattle,New Jersey,Washington",Contract,Available,https://wellfound.com/jobs/2862356-python-developer,2862356.0,09-08-2024,['python developer'],"Python,Javascript,Django,Agile,Microsoft Power BI",,"Requirement Details : Develop highly scalable applications in Python/Django framework. Create and deploy applications in azure environment with various interconnected azure components. Understand and enhance front-end applications using JavaScript(Vue and/or React JS), HTML5 and CSS3. Exposure to Power BI tools is highly desirable. Identify and fix bottlenecks that may arise from inefficient code. Knowledge of user authentication and authorization between multiple systems, servers and environments. Ensure that programs are written to the highest standards (e.g., Unit Tests) and technical specifications. Documentation of the key aspects of the project. Ability to collaborate on projects and work independently when required.  Qualifications 5+ years of prior experience as a developer in the required technologies Solid organizational skills, ability to multi-task across different projects Experience with Agile methodologies Skilled at independently researching topics using all means available to discover relevant information Ability to work in a team environment Excellent verbal and written communication skills Self-starter with ability to multi-task and to maintain momentum",Python Developer,,https://photos.wellfound.com/startups/i/1072241-3097d2ed20207e63038f782beaae570d-medium_jpg.jpg,https://wellfound.com/company/compunnel
Python Developer,GVOS ,$30k , $110k ,6 months ago,"Remote,San Francisco",Contract,Not Available,https://wellfound.com/jobs/481105-python-developer,481105.0,09-08-2024,['python developer'],"Python,Machine Learning,Pandas,Pyspark",Everywhere,"( PLEASE READ : This role must have > 1 year experience in hands on python to qualify  otherwise  your application will be rejected; have to pass coding test. Thanks for your attention as it will save time. )   Python, Pandas, PySpark Mentor needed  Requirements:  ·  Must have Python and OOP hands on devemopment experince!    PySpark is a huge plus.·  Outstanding written and oral communication skills and superb interpersonal abilities · Leadership and Influencing skills to inspire, motivate and persuade others in the Organization",Python Developer,,https://photos.wellfound.com/startups/i/736125-f0657778e6aa466e837c7f03519a53b4-medium_jpg.jpg,https://wellfound.com/company/stentortech
Senior Python Developer - Customer Engineering,AppZen,,,1 week ago,Phoenix,Full Time,Not Available,https://wellfound.com/jobs/3071111-senior-python-developer-customer-engineering,3071111.0,09-08-2024,['python developer'],,,"AppZen is the leader in autonomous spend-to-pay software. Its patented artificial intelligence accurately and efficiently processes information from thousands of data sources so that organizations can better understand enterprise spend at scale to make smarter business decisions. It seamlessly integrates with existing accounts payable, expense, and card workflows to read, understand, and make real-time decisions based on your unique spend profile, leading to faster processing times and fewer instances of fraud or wasteful spend. Global enterprises, including one-third of the Fortune 500, use AppZen’s invoice, expense, and card transaction solutions to replace manual finance processes and accelerate the speed and agility of their businesses. To learn more, visit us at  www.appzen.com . We are seeking a seasoned Python Developer with 5+ years of experience and excellent communication skills to join our team. The ideal candidate will collaborate with internal stakeholders including ISM, CSM, and product teams, and coordinate with data science and engineering teams. You must also be able to join customer calls to understand their requirements and provide solutions using mastermind apps.  Key Responsibilities:   Develop and maintain high-quality Python code.  Communicate effectively with internal stakeholders such as ISM, CSM, and product teams.  Coordinate and collaborate with data science and engineering teams.  Participate in customer calls to gather requirements and provide tailored solutions using mastermind apps.  Review all solutions with the product team for approval and work on scheduling them according to priority for release.  Ensure solutions are scalable, maintainable, and meet customer needs.   Requirements:   5+ years of experience in Python development.  Excellent communication and interpersonal skills.  Experience working with internal stakeholders and cross-functional teams.  Ability to understand customer requirements and provide effective solutions.  Familiarity with mastermind apps or similar tools is a plus.   Qualifications:   Bachelor's or Master's degree in Computer Science, Engineering, or a related field.  Proven track record of successful project delivery.  Strong problem-solving skills and attention to detail.  Ability to work independently and in a team environment.",Senior Python Developer - Customer Engineering,"SaaS,Enterprise Software Company",https://photos.wellfound.com/startups/i/377614-31241e0a0fbb6fad7abf1572a41cbcca-medium_jpg.jpg,https://wellfound.com/company/appzen
Python Developer,BCForward,$100k , $130k ,3 years ago,"Remote,Jersey City,United States,Charlotte,Jersey City",Contract,Not Available,https://wellfound.com/jobs/1096290-python-developer,1096290.0,09-08-2024,['python developer'],"Python,Selenium,Tableau,Shell Scripting,Quartz",,"Senior developer that will be responsible for developing, enhancing, modifying / maintaining  used for Independent Price Verification process for the Global Markets business. This would include design, code, test, debug  document programs as well as support activities. The prospective candidate will work closely with all levels  business partners in capturing requirements  take those requirements all the way to Production. The prospective candidate typically have 10 years  programming experience with in-depth    tools  languages.  Role Specific Responsibilities: • Responsible for developing software in Python, object-oriented database  grid using proprietary Quartz platform. • Responsible for developing data transfer tools to replicate data from no-sql datastore to an Oracle (Exadata) database • Responsible for building REST • Responsible for designing interface between UI  REST service. • Responsible for building data-grid centric UI based on Angular . • Participating fully in the  process through the entire software lifecycle. • Participating fully in  software  process  Experience Required: • 10 years  overall technology experience  3 years  Python experience • Python experience required. We use python 2.7  are migrating to 3.7 • Experience with git, npm, Angular (5.x  later) preferred • Experience with financial instruments  Price Verification processes  desirable. • Experience with grid computing  high data volume a plus • Experience with object-oriented database a plus • Experience doing test-driven , functional testing  continuous integration  desirable • We prefer people with experience across a range  languages  technologies, especially C++/Java  Python. • Strong written  verbal communications  The contractor will be working from our office in Jersey City, NJ",Python Developer,,https://photos.wellfound.com/startups/i/452818-6717b1917f325f797fee3802e099c4b7-medium_jpg.jpg,https://wellfound.com/company/bcforward
Sr. Python Developer,EastBanc Technologies,,,3 years ago,"Remote,Washington DC,Boston,California,Detroit,New York City,North Carolina,Texas,Florida,United Kingdom,New Jersey,Washington,Michigan,Nevada,South Carolina",Full Time,Not Available,https://wellfound.com/jobs/1126466-sr-python-developer,1126466.0,09-08-2024,['python developer'],"Python,Javascript,CSS,XML,JSON,JSON / XML / HTML / Javascript / JQuery,JSON / XML",,"Looking for a Sr. Python Developer with an excellent knowledge of Python, HTML, CSS and JavaScript as well as JSON, XML, ORACLE but core is Python.  Remote work, a plus if a person is located within the DMV and could come in to the Tysons office from time to time.   EastBanc Technologies is a full-lifecycle software product development firm and start-up incubator located in Georgetown, Washington, DC. We help customers jumpstart their digital transformation journey by leveraging cutting-edge technologies and approaches – focusing on complex cloud architecture, Artificial Intelligence and Data Science, API infrastructure, and all other components required to enable our clients’ digital evolution. Our customers have included The Washington Post, Kroger, Intelsat, Nasdaq, the American Red Cross, IBM, and other finance, science, education, consumer product, and mobility institutions.",Sr. Python Developer,,https://photos.wellfound.com/startups/i/118223-1158ac7379ebf5d5863332876f7a9328-medium_jpg.jpg,https://wellfound.com/company/eastbanc-technologies
Senior Python Developer,Siblings Software,No equity,No equity,2 years ago,"Remote,Miami",Full Time,Not Available,https://wellfound.com/jobs/1568567-senior-python-developer,1568567.0,09-08-2024,['python developer'],"Python,Backend Development",Everywhere,Senior Backend Developer with extensive experience in developing desktop applications with Python and knowledge of security and encryption. Advanced fluent oral English is a must.,Senior Python Developer,,https://photos.wellfound.com/startups/i/8445831-3b13b9592b7cb0532168a17287ca015c-medium_jpg.jpg,https://wellfound.com/company/siblings-software
Python Developer,Techgrit Solutions India Pvt.LTd,,,4 months ago,"Remote,India,Minneapolis,India,Hyderabad",Full Time,Not Available,https://wellfound.com/jobs/2953180-python-developer,2953180.0,09-08-2024,['python developer'],"Python,Django",,"Job Description – Python Developer  TechGrit is a USA-based business, with a development center located in Hyderabad India, that develops custom software for small to mid-range businesses. TechGrit creates highly customized software products for healthcare and other markets throughout the US.   Core Services  • Software Discovery: brainstorming, defining features, requirements documentation  • Software Design: storyboarding, graphic design, prototyping, architecture specifications  • Software Development: Enterprise-grade custom web and mobile app development  • Quality Assurance: manual testing teams, automated regression testing  • Technical Support: app deployment, warranty support, emergency services   TechGrit runs lean, which means we all participate in growing the business and we are not afraid to reinvent ourselves. As a part of our team, you would be a known individual and a leader with a voice. As you learn how we operate, we will begin looking for your insight on how we can do what we do, but better. If you are looking for an opportunity for personal growth and a chance to try new things, TechGrit could be a fit.   TechGrit is not centered in a single line of business. We are passionate about delivering techforward software, no matter the industry, and build everything from enterprise intranet applications to mobile apps available on the Apple Store. We engage with prospective clients where their needs fit our abilities, be it in healthcare, travel, retail, and more! Our typical project cycles last around 4-6 months. As a part of the TechGrit team, you will cultivate long-term relationships with our ongoing clients, while also welcoming new partnerships in new technical spaces.   Technical Skill-set/Responsibilities  • 5+ years of experience in Python development. • Write structured, clean, reusable, and testable code using Python • Familiarity with front-end technologies, such as JavaScript, HTML5, and CSS3 • Expertise in Python and its Django framework [or another framework you use] • Debugging applications to ensure low-latency and high-availability • Test own code and peer-review output from fellow developers • Manage data storage and solutions for application robustness • Implement security and data protection functions • Integrate user-facing components built by front-end developers with the logic of the back-end • Proficient understanding of code versioning tools such as Git  Qualifications • Bachelor’s degree in Computer Science, Engineering, Software Engineering, or related field; or an equivalent combination of education and experience. • Must have 5+ years of experience in a technical role. • Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3. • Understanding of accessibility and security compliance {{depending on the specific project}} • Knowledge of user authentication and authorization between multiple systems, servers, and environments. • Understanding of fundamental design principles behind a scalable application. • Familiarity with event-driven programming in Python. • Understanding of the differences between multiple delivery platforms, such as mobile vs desktop and optimizing output to match the specific platform. • Able to create database schemas that represent and support business processes • Nice to have - mobile app development in iOS, Android, Microsoft    Character Traits  • Humble, confident, self-aware  • Passionate about technology and enjoys a variety of challenging projects  • Excellent oral and written communication skills with a keen sense of customer service  • Ability to work effectively with a diverse population in a fast-paced environment.  • Ability to multitask, prioritize, and manage time efficiently  • Strong verbal English language skills with accents that can be understood in Minnesota without straining or effort  • Prefers a fast-paced environment with rewards/celebrations for achievements   Send your resume to  [email protected]",Python Developer,Software Development,https://photos.wellfound.com/startups/i/8476152-9622c1925ec312ff121b4efecba9449e-medium_jpg.jpg,https://wellfound.com/company/techgrit-india
Experienced Python Developer,Monick,$100k , $150k ,3 years ago,Chicago,Full Time,Not Available,https://wellfound.com/jobs/1420516-experienced-python-developer,1420516.0,09-08-2024,['python developer'],,,"Ideal hire is an experienced Python developer - someone who knows how to code, understands algorithms, and can follow instructions, but also can do design, architecture, analysis, and technical documentation. Hire should be proactive, dedicated, and knowledgeable. We tend to favor hires who can do multiple tasks (generalist) rather than one task (specialist). Hire will work out of Chicago a min of 50 hours/week (Mon - Fri from 8 AM - 6 PM CST or so).  Prior financial market/proprietary trading knowledge is necessary. Hire will help our lead developer with the coding of new strategies as well as system admin tasks – e.g. server config (Ansible), real-time messaging (RabbitMQ), task management (Airflow), micro services (Docker), system auditing, deploy automation (Jenkins), log management, database management (MongoDB, SQL), Python scripting, data analysis (Pandas, Scikit-Learn), etc. We strongly prefer hires with knowledge of Centos (Linux Distro) for remote servers, terminal/bash, crontab, systemd, SSH and SCP, Python 3.0, NumPy, TensorFlow, Click, IQfeed, CQG, IB, TradeStation, and especially Rithmic (API).",Experienced Python Developer,"Financial Institution   ,General Trading,Big Data Analytics",https://photos.wellfound.com/startups/i/8370983-aed2e6a808d334695ec346853c5c8402-medium_jpg.jpg,https://wellfound.com/company/monick
Python Developer,Botprise,,,3 years ago,Sunnyvale,Full Time,Not Available,https://wellfound.com/jobs/1445969-python-developer,1445969.0,09-08-2024,['python developer'],,,"About us: Botprise, leading Hyperautomation platform, provides capabilities to automate enterprise business processes with simple Low-code / No-code drag and drop interface. We develop solutions for ITOps, DataOps, Network Automation, Analytics, Document Processing, ChatOps automation. With our platform we provided enterprise automation for clients in multiple industries and are expanding our portfolio.  Responsibilities   Develop and test reusable, testable and scalable code  Design and implement highly available, and performant applications  Work on back-end components to improve responsiveness and overall performance  Integration of user-facing elements developed by front-end developers with server side logic  Integration of data storage solutions (MongoDB/RDBMS)  Improve functionality of existing systems  Implement security and data protection solutions   Eligibility   2-4 years of experience in Python with good knowledge of at least one Python web frameworks such as Django or Flask  Good at development and testing of REST based APIs  Experience in using ORM libraries  Basic understanding of cloud based application development  Basic knowledge of front-end technologies such as JavaScript, HTML5, and CSS3  Familiarity with event-driven programming in Python  Understanding of the fundamental design principles behind a scalable application  Ability to integrate multiple data sources into a single system  Proficient understanding of code versioning tools such as Git, Mecurial or SVN  Strong unit test and debugging skills  Good problem-solving skills  Educational Qualification Graduation/Diploma in relevant field  Excellent communication and interpersonal skills  Ability to prioritize, manage time well, stay organized, quickly address needs and adjust focus as needed  Quick learner, with a positive attitude and ability to work well within a team   Looking forward to receiving your CV!",Python Developer,Private Company,https://photos.wellfound.com/startups/i/7011895-81e62615c022037253a12851a91d2d25-medium_jpg.jpg,https://wellfound.com/company/botprise
